,mw_u,mw_p,ks_stat,ks_p,t_stat,t_p,horizon,comparison,symbol
616,50.0,0.5112866462906049,0.36363636363636365,0.479150364599281,-0.5479205320138044,0.5898627236348948,20,double_top_vs_random,WDAY
617,145.0,0.4744939050165551,0.20527859237536658,0.8012374954438689,-0.7255686641991049,0.479077062722146,20,ma_crossover_vs_random,WDAY
618,172.0,0.8483159880044479,0.20303030303030303,0.8186776081490088,0.18861744410920142,0.8526897685003297,60,double_top_vs_ma_crossover,WDAY
619,56.0,0.792755431359177,0.18181818181818182,0.9970968144342757,-0.2821441793170931,0.7807691813022317,60,double_top_vs_random,WDAY
620,155.0,0.7798360498337225,0.1787878787878788,0.9083057093472819,-0.5655532409702462,0.5785886127225188,60,ma_crossover_vs_random,WDAY
621,65.0,0.08580378797002625,0.4583333333333333,0.09553093180456916,-1.9658975737796236,0.06181021865042989,5,double_top_vs_ma_crossover,WDC
622,40.0,1.0,0.2222222222222222,0.9894693541752365,-0.07223348096924681,0.9434965808943774,5,double_top_vs_random,WDC
623,140.0,0.20290733901866465,0.4166666666666667,0.16017408620300724,1.3562011079473122,0.197013979463385,5,ma_crossover_vs_random,WDC
624,115.0,0.4284156184934829,0.375,0.3345449359687402,0.3516862695131159,0.7324567921936114,20,double_top_vs_ma_crossover,WDC
625,46.0,0.37038255861785274,0.5138888888888888,0.17317976141505553,0.3684940441366237,0.7193101193451464,20,double_top_vs_random,WDC
626,113.0,0.8556598556131285,0.1527777777777778,0.9903221139261185,0.055972241744347694,0.9559789725210678,20,ma_crossover_vs_random,WDC
627,113.0,0.11828961587582276,0.422360248447205,0.22695942626977111,1.8276932067082672,0.09110594148870664,60,double_top_vs_ma_crossover,WDC
628,46.0,0.14160839160839161,0.5238095238095238,0.1687062937062937,1.519374727947641,0.15093004112216957,60,double_top_vs_random,WDC
629,107.0,0.8999385905096587,0.1932367149758454,0.9186576965859501,0.043557058139254846,0.9658448347847061,60,ma_crossover_vs_random,WDC
630,134.0,0.6287713574099809,0.275,0.6288831071613454,0.4361849503049693,0.6675564840985935,5,double_top_vs_ma_crossover,WEC
631,27.0,0.6357563049910487,0.375,0.6601398601398599,0.1199495356528425,0.9063310716250084,5,double_top_vs_random,WEC
632,92.0,0.3315665065390423,0.4083333333333333,0.18206217257450658,-0.36573027361712307,0.7175112828658801,5,ma_crossover_vs_random,WEC
633,133.0,0.654409222512345,0.30833333333333335,0.49180978732561664,0.2717155946344615,0.7889070474781614,20,double_top_vs_ma_crossover,WEC
634,27.0,0.6357563049910487,0.375,0.6601398601398599,-0.15520371800047383,0.8794895964778839,20,double_top_vs_random,WEC
635,97.0,0.4279135731247986,0.43333333333333335,0.14026683411483168,-0.5291899162883186,0.6001690482762415,20,ma_crossover_vs_random,WEC
636,112.0,0.7882473902755325,0.25833333333333336,0.6972702072072889,-0.5157378690758269,0.6159354555762371,60,double_top_vs_ma_crossover,WEC
637,33.0,0.9580293271234123,0.25,0.98010878010878,0.07134408643004922,0.9441915230666416,60,double_top_vs_random,WEC
638,137.0,0.5617520728376617,0.325,0.42745282893090747,0.5051063899227867,0.6248945601818026,60,ma_crossover_vs_random,WEC
639,104.0,0.49761163532047115,0.3911290322580645,0.22481757775875424,-0.00399444887097887,0.9968352880535967,5,double_top_vs_ma_crossover,WELL
640,29.0,0.792746526993248,0.375,0.6601398601398599,0.19238133602484558,0.8512539294365109,5,double_top_vs_random,WELL
641,124.0,1.0,0.20967741935483872,0.8808435077784923,0.17029032324250762,0.8667888936092046,5,ma_crossover_vs_random,WELL
642,125.0,0.8719873400839446,0.26666666666666666,0.6748456327004216,0.8882872968393901,0.3806779770034623,20,double_top_vs_ma_crossover,WELL
643,35.0,0.792746526993248,0.25,0.98010878010878,0.7977355327102321,0.4425774137160682,20,double_top_vs_random,WELL
644,131.0,0.7123083153243946,0.2,0.9240564661517426,0.03689445255424266,0.9709924013035476,20,ma_crossover_vs_random,WELL
645,128.0,0.788270012475833,0.275,0.6288831071613454,0.19514736697826737,0.8486141364226784,60,double_top_vs_ma_crossover,WELL
646,33.0,0.9580911282267016,0.375,0.6601398601398599,0.17287922312622692,0.8652945745509366,60,double_top_vs_random,WELL
647,119.0,0.9860015722394633,0.3,0.5361023298704314,0.03465972443320289,0.9730154254186094,60,ma_crossover_vs_random,WELL
648,167.5,0.39237928630980445,0.255,0.4601009091374728,-0.8452202201317628,0.40441209397626376,5,double_top_vs_ma_crossover,WFC
649,107.0,0.4397037144241215,0.25,0.7164116566837258,-0.3523576960218504,0.7270391417843699,5,double_top_vs_random,WFC
650,201.0,0.9893381363871676,0.18,0.8365009034413828,0.427478562591624,0.6720731379200209,5,ma_crossover_vs_random,WFC
651,143.5,0.13444703897944754,0.34,0.15897675133280284,-1.1124607491246494,0.273785970338566,20,double_top_vs_ma_crossover,WFC
652,111.0,0.5339917474892726,0.25,0.7164116566837258,-0.39274494811774474,0.6973130845600117,20,double_top_vs_random,WFC
653,219.0,0.621000203004081,0.215,0.662987527173799,0.6286230289922882,0.534141549875818,20,ma_crossover_vs_random,WFC
